Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Climatological,Wildfire,Forest fire,HRV,Croatia,Southern Europe,Europe,"Split, Omis cities (Split-dalmatija province), Slano, Metkovic cities (Dubrovnik-neretva province)",203.0,Km2,45.1,15.2,2000,8.0,,2000,8.0,,1.0
Natural,Hydrological,Flood,Flash flood,IND,India,Southern Asia,Asia,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",129500.0,Km2,20.593684,78.96288,2000,8.0,23.0,2000,8.0,31.0,179.0
Natural,Hydrological,Flood,Flash flood,KOR,Republic of Korea,Eastern Asia,Asia,"Chollanam-do, Chollabuk-do, Chungchongnam-do, Seoul, Kyonggi-do provinces",27590.0,Km2,35.907757,127.766922,2000,8.0,26.0,2000,8.0,29.0,7.0
Natural,Hydrological,Flood,Flood (General),NGA,Nigeria,Sub-Saharan Africa,Africa,Zamfara province,100.0,Km2,9.081999,8.675277,2000,8.0,15.0,2000,8.0,15.0,
Natural,Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,Asia,"Chollabuk-do, Chungchongnam-do, Cheju-do provinces",209.0,Kph,35.907757,127.766922,2000,8.0,31.0,2000,8.0,31.0,25.0
Natural,Climatological,Wildfire,Forest fire,RUS,Russian Federation,Eastern Europe,Europe,"Amurskaya Oblast, Khabarovskiy Kray, Primorskiy Kray, Yevreyskaya A. Oblast provinces (Amour region)",400.0,Km2,61.52401,105.318756,2000,6.0,19.0,2000,6.0,19.0,
Natural,Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,Asia,"Hunan Sheng, Guangdong Sheng provinces",160.0,Kph,35.86166,104.195397,2000,9.0,1.0,2000,9.0,6.0,47.0
Natural,Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,"Aiti, Mie, Gifu provinces",160.0,Kph,36.204824,138.252924,2000,9.0,11.0,2000,9.0,14.0,9.0
Natural,Climatological,Wildfire,Forest fire,ESP,Spain,Southern Europe,Europe,"Galicia, Castilla y Leon, Cataluna/Catalunya provinces",615.0,Km2,40.463667,-3.74922,2000,,,2000,,,
Natural,Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,"Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)",120.0,Kph,14.058324,108.277199,2000,9.0,10.0,2000,9.0,10.0,5.0
Natural,Hydrological,Flood,Flood (General),LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,"Louang-Namtha, Bolikhamxai, Khammouan, Savannakhet, Champasak, Salavan, Vientiane, Vientiane capital province",1104.0,Km2,19.85627,102.495496,2000,9.0,,2000,9.0,,15.0
Natural,Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,"Recife city (Recife district, Pernambuco province), Jaboatao Dos Guararapes, Moreno districts (Pernambuco province)",3000.0,Km2,-14.235004,-51.92528,2000,9.0,16.0,2000,9.0,18.0,3.0
Natural,Hydrological,Flood,Flood (General),NGA,Nigeria,Sub-Saharan Africa,Africa,Gusau district (Zamfara province),100.0,Km2,9.081999,8.675277,2000,9.0,,2000,9.0,,
Natural,Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",4.9,Moment Magnitude,38.3788333,-95.712891,2000,9.0,3.0,2000,9.0,3.0,
Natural,Meteorological,Storm,Storm (General),UKR,Ukraine,Eastern Europe,Europe,Dnipropetrovs'ka province,72.0,Kph,48.379433,31.16558,2000,7.0,25.0,2000,7.0,25.0,4.0
Natural,Hydrological,Flood,Riverine flood,GTM,Guatemala,Latin America and the Caribbean,Americas,"Teleman area (Panzos district, Alta Verapaz province), Guatemala district (Guatemala province), Zacapa district (Zacapa province)",13970.0,Km2,15.783471,-90.230759,2000,9.0,15.0,2000,9.0,17.0,20.0
Natural,Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",12680.0,Km2,20.593684,78.96288,2000,9.0,18.0,2000,10.0,21.0,884.0
Natural,Meteorological,Storm,Severe weather,MEX,Mexico,Latin America and the Caribbean,Americas,"Chiapas, Veracruz, Guerrero provinces",88.0,Kph,23.634501,-102.552784,2000,9.0,21.0,2000,9.0,21.0,8.0
Natural,Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,Asia,"Galle, Matara districts (Southern province)",8000.0,Km2,7.873054,80.771797,2000,9.0,18.0,2000,9.0,22.0,2.0
Natural,Hydrological,Flood,Flash flood,BGD,Bangladesh,Southern Asia,Asia,"Gangni, Meherpur Sadar areas (Meherpur district, Khulna province), Daulatpur, Kushtia Sadar, Bheramara areas (Kushtia district, Khulna province), Jibannagar, Alamdanga, Cuadanda Sadar, Damurhuda areas (Chuadanga district, Khulna province), Maheshpur, Kotchandpur areas (Jhenaidah district, Khulna province), Paba, Godagari, Tanor, Mohanpur areas (Rajshahi district, Rajshahi province)",162.0,Km2,23.684994,90.356331,2000,9.0,,2000,10.0,,31.0
Natural,Hydrological,Flood,Flash flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Lagos province,7700.0,Km2,9.081999,8.675277,2000,9.0,20.0,2000,9.0,21.0,
Natural,Meteorological,Storm,Tornado,FRA,France,Western Europe,Europe,"Montpellier city (Herault district, Languedoc-Rousillon province), Marseille city (Bouches-du-Rhone district, Provence-Alpes-Cote-d'Azur province)",100.0,Kph,46.227638,2.213749,2000,9.0,19.0,2000,9.0,19.0,6.0
Natural,Climatological,Wildfire,Forest fire,MKD,North Macedonia,Southern Europe,Europe,"Berovo, Bitola, Brod, Debar, Delcevo, Demir Hisar, Gevgelija, Gostivar, Kavadarci, Kicevo, Kocani, Kratovo, Kriva Palanka, Krusevo, Kumanovo, Negotino, Ohrid, Prilep, Probistip, Radovic, Resen, Skopje, Stip, Struga, Strumica, Sveti Nikole, Tetovo, Valandovo, Veles, Vinica provinces",160.0,Km2,41.608635,21.745275,2000,8.0,,2000,8.0,,
Natural,Meteorological,Storm,Tropical cyclone,BLZ,Belize,Latin America and the Caribbean,Americas,"San Pedro and Belize cities, Cay Caulker and Ambergris Caye islands (Belize province), Corozal, Cayo, Orange Walk provinces",215.0,Kph,17.189877,-88.49765,2000,9.0,30.0,2000,10.0,3.0,14.0
Natural,Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,"Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces",150.0,Kph,23.634501,-102.552784,2000,9.0,29.0,2000,10.0,3.0,23.0
Natural,Geophysical,Earthquake,Ground movement,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Isale, Kipili, Kirando, Namanyere, Wampelembe, Kate areas (Nkasi district, Rukwa province)",6.5,Moment Magnitude,-6.369028,30.709,2000,10.0,2.0,2000,10.0,2.0,1.0
Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Aimityoo, Kisimototyoo, Mizokutityoo, Saihakutyoo, Daisentyoo, Nawatyoo, Nakayamatyoo, Hieduson districts (Tottori province), Simane, Okayama provinces",6.7,Moment Magnitude,35.456,133.134,2000,10.0,6.0,2000,10.0,6.0,
Natural,Hydrological,Flood,Riverine flood,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Maidstone, Yalding, Tunbridge Wells, Edenbridge, Datford, Tenterden towns (Kent district, England province), Uckfield, Lewes towns (East Sussex district, England province), West Sussex district (England province), Hampshire district (England province), Devonshire district (England province)",5300.0,Km2,55.378051,-3.435973,2000,10.0,11.0,2000,10.0,14.0,
Natural,Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,Rio Grande Do Sul province,10250.0,Km2,-14.235004,-51.92528,2000,10.0,12.0,2000,10.0,15.0,6.0
Natural,Meteorological,Extreme temperature,Cold wave,KGZ,Kyrgyzstan,Central Asia,Asia,"Bishkek, Chuy, Talas, Ysyk-Kol provinces",0.0,°C,41.20438,74.766098,2000,10.0,16.0,2000,10.0,16.0,11.0
Natural,Hydrological,Flood,Flash flood,CHN,China,Eastern Asia,Asia,"Xuwen area (Zhanjiang district, Guandong province), Hainan Sheng province",11170.0,Km2,35.86166,104.195397,2000,10.0,12.0,2000,10.0,18.0,10.0
Natural,Meteorological,Storm,Storm (General),NZL,New Zealand,Australia and New Zealand,Oceania,Canterbury province,160.0,Kph,-40.900557,174.885971,2000,10.0,11.0,2000,10.0,11.0,
Natural,Hydrological,Flood,Flash flood,ESP,Spain,Southern Europe,Europe,"Amposta city (Tarragona district, Cataluña/Catalunya province) ; Zaragoza, Teruel districts (Aragón province), Albacete district (Castilla-La Mancha province) ; Aragón, Región de Murcia, Comunitat Valenciana, Cataluña/Catalunya provinces",26690.0,Km2,40.463667,-3.74922,2000,10.0,20.0,2000,10.0,26.0,8.0
Natural,Meteorological,Extreme temperature,Cold wave,RUS,Russian Federation,Eastern Europe,Europe,"Moskva, Moskovskaya Oblast provinces",-7.0,°C,61.52401,105.318756,2000,10.0,10.0,2000,10.0,10.0,232.0
Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Cavite district (Region IV-A (Calabarzon) province), Sorsogon, Catanduanes, Albay districts (Region V (Bicol region) province), Metropolitan Manila district (National Capital region (NCR) province), Samar districts (Region VIII (Eastern Visayas) province)",140.0,Kph,12.879721,121.774017,2000,10.0,28.0,2000,10.0,31.0,154.0
Natural,Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,Asia,"Taipei, Pingtung, Kaohsiung areas (Taiwan Sheng province)",120.0,Kph,23.69781,120.960515,2000,11.0,1.0,2000,11.0,4.0,89.0
Natural,Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,Asia,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",100.0,Kph,23.684994,90.356331,2000,10.0,28.0,2000,10.0,28.0,15.0
Natural,Meteorological,Storm,Severe weather,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,"Larkhill city (Wiltshire district), Bognor Regis village, Selsey city (West Sussex district) (England province) ; West Yorkshire, South Yorkshire, North Yorkshire, Humberside (Yorkshire), West Sussex, East Sussex (Sussex), Kent, Wiltshire, Hamphshire districts (England province)",150.0,Kph,55.378051,-3.435973,2000,10.0,28.0,2000,10.0,29.0,12.0
Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Metropolitan Manila district (National Capital region (NCR) province), Rizal, Laguna districts (Region IV-A (Calabarzon) province), Cagayan, Nueva Vizcaya districts (Region II (Cagayan Valley) province)",120.0,Kph,12.879721,121.774017,2000,11.0,3.0,2000,11.0,5.0,94.0
Natural,Hydrological,Flood,Riverine flood,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,"Aragua, Carabobo, Falcon, Districto Capital, Merida, Miranda, Sucre, Trujillo, Vargas, Zulia provinces",77730.0,Km2,6.42375,-66.58973,2000,11.0,12.0,2000,11.0,17.0,2.0
